State,Period,Visitor Arrival 
Tasmania,Sep 2023,3.79
Tasmania,Oct 2023,5.73
Tasmania,Nov 2023,8.20
Tasmania,Dec 2023,9.99
Tasmania,Jan 2024,7.02
Tasmania,Feb 2024,9.99
Tasmania,Mar 2024,9.21
Tasmania,Apr 2024,4.78
Tasmania,May 2024,5.06
Tasmania,Jun 2024,3.72
Tasmania,Jul 2024,3.90
Victoria,Jul 2014,134.70
Victoria,Aug 2014,116.81
Victoria,Sep 2014,110.73
Victoria,Oct 2014,132.11
Victoria,Nov 2014,145.42
Victoria,Dec 2014,195.61
Victoria,Jan 2015,137.52
Victoria,Feb 2015,189.01
Victoria,Mar 2015,172.42
Victoria,Apr 2015,129.15
Victoria,May 2015,114.57
Victoria,Jun 2015,113.94
Victoria,Jul 2015,140.42
Victoria,Aug 2015,129.56
Victoria,Sep 2015,130.30
Victoria,Oct 2015,152.62
Victoria,Nov 2015,169.38
Victoria,Dec 2015,231.93
Victoria,Jan 2016,162.40
Victoria,Feb 2016,209.12
Victoria,Mar 2016,187.65
Victoria,Apr 2016,146.96
Victoria,May 2016,132.47
Victoria,Jun 2016,134.94
Victoria,Jul 2016,168.99
Victoria,Aug 2016,147.17
Victoria,Sep 2016,145.18
Victoria,Oct 2016,169.77
Victoria,Nov 2016,181.35
Victoria,Dec 2016,254.12
Victoria,Jan 2017,190.76
Victoria,Feb 2017,206.91
Victoria,Mar 2017,194.86
Victoria,Apr 2017,171.09
Victoria,May 2017,140.71
Victoria,Jun 2017,148.84
Victoria,Jul 2017,173.80
Victoria,Aug 2017,170.04
Victoria,Sep 2017,151.83
Victoria,Oct 2017,177.21
Victoria,Nov 2017,195.26
Victoria,Dec 2017,263.24
Victoria,Jan 2018,190.96
Victoria,Feb 2018,243.50
Victoria,Mar 2018,222.70
Victoria,Apr 2018,173.78
Victoria,May 2018,153.19
Victoria,Jun 2018,164.97
Victoria,Jul 2018,191.35
Victoria,Aug 2018,183.12
Victoria,Sep 2018,167.31
Victoria,Oct 2018,190.24
Victoria,Nov 2018,215.21
Victoria,Dec 2018,282.61
Victoria,Jan 2019,205.58
Victoria,Feb 2019,259.06
Victoria,Mar 2019,234.43
Victoria,Apr 2019,180.00
Victoria,May 2019,176.51
Victoria,Jun 2019,170.79
Victoria,Jul 2019,201.93
Victoria,Aug 2019,196.97
Victoria,Sep 2019,168.98
Victoria,Oct 2019,195.58
Victoria,Nov 2019,220.34
Victoria,Dec 2019,299.56
Victoria,Jan 2020,218.24
Victoria,Feb 2020,181.50
Victoria,Mar 2020,97.62
Victoria,Apr 2020,0.48
Victoria,May 2020,0.77
Victoria,Jun 2020,1.14
Victoria,Jul 2020,0.31
Victoria,Aug 2020,0.22
Victoria,Sep 2020,0.33
Victoria,Oct 2020,0.64
Victoria,Nov 2020,0.74
Victoria,Dec 2020,1.62
Victoria,Jan 2021,2.04
Victoria,Feb 2021,0.92
Victoria,Mar 2021,1.28
Victoria,Apr 2021,4.03
Victoria,May 2021,5.85
