State,Year,TemporaryStudentVisaTYpe,Value
Tasmania,2015,Vocational Educ. & Training,160
Tasmania,2015,Schools,370
Tasmania,2015,Independent ELICOS(f),50
Tasmania,2015,Postgraduate Research,530
Tasmania,2015,Other Students,410
Tasmania,2016,Higher Education,3400
Tasmania,2016,Vocational Educ. & Training,120
Tasmania,2016,Schools,510
Tasmania,2016,Independent ELICOS(f),70
Tasmania,2016,Postgraduate Research,600
Tasmania,2016,Other Students,330
Tasmania,2017,Higher Education,4740
Tasmania,2017,Vocational Educ. & Training,350
Tasmania,2017,Schools,420
Tasmania,2017,Independent ELICOS(f),120
Tasmania,2017,Postgraduate Research,660
Tasmania,2017,Other Students,490
Tasmania,2018,Higher Education,5920
Tasmania,2018,Vocational Educ. & Training,650
Tasmania,2018,Schools,560
Tasmania,2018,Independent ELICOS(f),40
Tasmania,2018,Postgraduate Research,740
Tasmania,2018,Other Students,370
Tasmania,2019,Higher Education,6430
Tasmania,2019,Vocational Educ. & Training,1290
Tasmania,2019,Schools,580
Tasmania,2019,Independent ELICOS(f),60
Tasmania,2019,Postgraduate Research,790
Tasmania,2019,Other Students,270
Tasmania,2020,Higher Education,2300
Tasmania,2020,Vocational Educ. & Training,450
Tasmania,2020,Schools,260
Tasmania,2020,Independent ELICOS(f),20
Tasmania,2020,Postgraduate Research,230
